id,nom,prenom,naissance,bio,ville,abonne,inscription
"labossdu94","Bas","Loussine","2004-05-13","","94069","true","2025-05-22"
"reneaubert","Aubert","Rene","1995-05-12","","42218","true","2025-01-20"
"henri04","Nguyen","Henri","2004-05-02","","66136","false","2025-02-01"
"morel_eric","Morel","Eric","1992-07-14","","92004","false","2025-01-12"
"gillesl","Lemaire","Gilles","1974-04-27","","72181","true","2025-04-04"
"denisparis","Boyer","Denis","1993-01-27","","75056","true","2025-01-21"
"nath","Roux","Nathalie","2004-09-21","","83137","false","2025-04-19"
"falin","Fabre","Alain","1988-08-06","","31555","false","2025-04-17"
"fd1994","Fabre","Daniel","1994-01-31","","37261","true","2025-03-03"
"plbrest","Lucas","Pierre","1982-02-18","","29019","false","2025-03-15"
"fernanda","Fernandes","Anthony","2004-06-16",,"92002","true","2025-04-18"
"helene_vincent","Vincent","Helene","1977-12-15","","44109","true","2025-04-09"
"nicog","Gerard","Nicolas","1977-09-01","","72181","false","2025-02-28"
"michelb","Blanchard","Michel","1971-09-14","",,"false","2025-01-14"
"brunaa","Robert","Bruna","1974-05-14","","76351","true","2025-03-13"
"garciap","Garcia","Paul","1982-03-18","","94081","true","2025-01-19"
"eric35","Bertrand","Eric","2003-09-12",,"35238","true","2025-04-11"
"ta_super_copine","Diaz","Martine","1991-04-29","","13001","false","2025-03-03"
"patoche","Dumont","Patrick","1989-06-21","","29019","false","2025-04-13"
"fabrejean","Fabre","Jean","1988-01-27","","37261","false","2025-01-27"
"filozof","Rousseau","Jean-Jaques","1987-11-18","","87085","true","2025-03-21"
"mercier59","Mercier","Joseph","2000-01-28","","59599","true","2025-01-08"
"marie88","Andre","Marie","1988-06-03","","75056","false","2025-04-23"
"albertmat","Mathieu","Albert","1998-07-22","","59350","true","2025-01-28"
"robertmasson","Masson","Robert","2006-11-20","","44109","false","2025-01-01"
"thierry9292","Lemaire","Thierry","1992-10-22","","92012","false","2025-02-27"
"robinm","Robin","Marc","2004-04-15","","75056","true","2025-01-01"
"nicoledubois","Dubois","Nicole","2001-07-24","","42218","false","2025-01-16"
"oliver","Gautier","Olivier","1974-10-03","","97411","true","2025-02-11"
"serge01","Meunier","Serge","2001-07-12","","59512","false","2025-04-06"
"marc_le_grand","Legrand","Marc","1985-08-17","","30189","true","2025-04-09"
"xddl","Bertrand","Jacques","1961-01-9","","86194","false","2025-03-18"
"isa37","Nguyen","Isabelle","1987-09-25","","37261","false","2025-02-22"
"raymond_du_13","Lefebvre","Raymond","1970-07-17","","13001","true","2025-02-24"
"sanchezzz","Sanchez","Laurence","1980-03-09","","25056","false","2025-01-06"
"isa_belle","Riviere","Isabelle","1991-04-09","","33063","false","2025-01-03"
"tj007","Joly","Thierry","2007-01-06","","93066","false","2025-02-17"
"nicobru","Brunet","Nicolas","1978-01-07","","31555","false","2025-04-14"
"dupontdupond","Dupont","Bruno","1976-10-02","","33063","false","2025-02-08"
"domdom1992","Robert","Dominique","1992-07-26","","14118","false","2025-01-13"
"supermatth","Thomas","Matthieu","1992-07-18","","06088","false","2025-04-22"
"chris94","Masson","Christophe","1996-03-16","","94028","false","2025-04-06"
"patrick_perez","Perez","Patrick","1978-03-12","","97411","true","2025-01-22"
"ll9933","Legrand","Laurent","1999-01-21",,"33063","true","2025-02-16"
"paul_bernard","Bernard","Paul","1981-05-08","","87085","false","2025-01-18"
"georgesd","Denis","Georges","1988-07-05","","84007","false","2025-01-23"
"chris96","Renard","Christelle","1996-12-08","",,"false","2025-01-02"
"ymathieu","Mathieu","Yves","1991-08-02","","14118","true","2025-01-14"
"meunierbruno","Meunier","Bruno","1975-04-24","","80021","true","2025-03-08"
"claudewhite","Blanc","Claude","1991-08-01","","59599","true","2025-03-30"
"soso99","Meyer","Sophie","1999-11-27","","31555","true","2025-02-18"
"bernard_l","Lefebvre","Bernard","1977-12-21","","13055","false","2025-02-20"
"sophie","Mathieu","Sophie","1980-07-27","","95018","false","2025-04-03"
"raygarnier","Garnier","Raymond","1985-05-06","","42218","true","2025-03-01"
"nath33","Morin","Nathalie","1982-04-30","","33063","false","2025-04-13"
"nathalie79","Michel","Nathalie","1979-07-04","",,"true","2025-03-26"
"martine95","Francois","Martine","1995-04-28","","38185","true","2025-03-05"
"michmich","Riviere","Michel","1974-04-19","","44109","true","2025-04-06"
"vingt_cent","Fournier","Vincent","1976-08-15","","93066","false","2025-03-09"
"alainnn","Joly","Alain","2005-05-24","","66136","false","2025-03-06"
"_hellene","Nicolas","Helene","1996-11-11","","35238","false","2025-02-24"
